Case_Reference,Date_Received,Date_Completed,Department,Operational_Unit,Region,Classification,Current_Status,Processing_Duration_Days,SLA_Target_Days,Quality_Audit_Score,Case_Cost_GBP
CAS-2025-01209,2025-08-01,2025-08-08,Customer Enforcement,Unit 1,London & South East,Standard Application,Completed,7,15,91.3,325.09
CAS-2025-01210,2025-07-10,2025-07-17,Regulatory Approvals,Unit 4,North & Scotland,Standard Application,Completed,7,15,89.4,384.97
CAS-2025-01211,2025-04-22,2025-05-01,Customer Enforcement,Unit 4,North & Scotland,Standard Application,Completed,9,15,100.0,458.71
CAS-2025-01212,2025-04-15,2025-06-17,Operations,Unit 4,London & South East,Appeals & Inquiries,Completed,63,60,90.7,2294.14
CAS-2025-01213,2025-04-07,2025-05-19,Customer Enforcement,Unit 2,Wales & South West,Appeals & Inquiries,Completed,42,60,100.0,1630.51
CAS-2025-01214,2025-07-19,2025-08-05,Operations,Unit 1,Wales & South West,Standard Application,Completed,17,15,99.3,664.07
CAS-2025-01215,2025-03-28,2025-04-10,Regulatory Approvals,Unit 1,Wales & South West,Standard Application,Completed,13,15,87.2,541.15
CAS-2025-01216,2025-05-19,2025-05-22,Specialist Assessment,Unit 3,North & Scotland,Urgent License,Completed,3,5,99.8,197.71
CAS-2025-01217,2025-09-18,2025-09-25,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,7,15,98.0,360.97
CAS-2025-01218,2025-02-18,2025-03-12,Operations,Unit 4,Midlands,Standard Application,Completed,22,15,87.5,878.83
CAS-2025-01219,2025-09-12,2025-10-07,Specialist Assessment,Unit 1,Wales & South West,Standard Application,Completed,25,15,100.0,1012.31
CAS-2025-01220,2025-10-15,2025-10-22,Regulatory Approvals,Unit 2,North & Scotland,Standard Application,Completed,7,15,100.0,358.35
CAS-2025-01221,2025-06-02,2025-06-10,Operations,Unit 2,Wales & South West,Standard Application,Completed,8,15,93.9,401.6
CAS-2025-01222,2025-06-23,2025-07-23,Operations,Unit 1,North & Scotland,Complex Inspection,Completed,30,45,91.0,1202.93
CAS-2025-01223,2025-09-25,2025-09-28,Specialist Assessment,Unit 2,London & South East,Urgent License,Completed,3,5,94.9,234.14
CAS-2025-01224,2025-08-24,2025-08-26,Operations,Unit 4,Midlands,Urgent License,Completed,2,5,96.4,174.96
CAS-2025-01225,2025-09-26,,Operations,Unit 1,London & South East,Complex Inspection,Under Review,36,45,,1376.84
CAS-2025-01226,2025-03-29,2025-04-02,Operations,Unit 2,North & Scotland,Urgent License,Completed,4,5,86.8,207.16
CAS-2025-01227,2025-01-30,2025-02-01,Specialist Assessment,Unit 3,London & South East,Urgent License,Completed,2,5,93.5,167.16
CAS-2025-01228,2025-05-24,2025-05-26,Customer Enforcement,Unit 4,London & South East,Urgent License,Completed,2,5,93.5,186.76
CAS-2025-01229,2025-01-10,2025-02-21,Customer Enforcement,Unit 2,North & Scotland,Complex Inspection,Completed,42,45,90.8,1578.53
CAS-2025-01230,2025-03-27,2025-03-29,Customer Enforcement,Unit 2,Midlands,Urgent License,Completed,2,5,97.0,188.84
CAS-2025-01231,2025-08-31,2025-09-26,Customer Enforcement,Unit 2,Wales & South West,Complex Inspection,Completed,26,45,96.8,1011.54
CAS-2025-01232,2025-05-12,2025-06-12,Customer Enforcement,Unit 4,Midlands,Complex Inspection,Completed,31,45,100.0,1150.82
CAS-2025-01233,2025-02-07,2025-02-16,Operations,Unit 4,London & South East,Standard Application,Completed,9,15,87.5,456.93
CAS-2025-01234,2025-08-09,2025-09-15,Regulatory Approvals,Unit 4,London & South East,Complex Inspection,Completed,37,45,100.0,1431.15
CAS-2025-01235,2025-03-23,2025-04-04,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,12,15,99.3,490.9
CAS-2025-01236,2025-06-01,2025-07-19,Operations,Unit 2,Midlands,Complex Inspection,Completed,48,45,75.4,1768.75
CAS-2025-01237,2025-07-02,2025-07-09,Customer Enforcement,Unit 1,Midlands,Standard Application,Completed,7,15,96.8,378.64
CAS-2025-01238,2025-10-30,,Specialist Assessment,Unit 4,Midlands,Complex Inspection,Under Review,2,45,,132.83
CAS-2025-01239,2025-07-17,2025-09-27,Specialist Assessment,Unit 4,North & Scotland,Complex Inspection,Completed,72,45,93.8,2703.96
CAS-2025-01240,2025-09-16,2025-09-18,Operations,Unit 1,Midlands,Urgent License,Completed,2,5,83.7,172.81
CAS-2025-01241,2025-02-20,2025-03-09,Specialist Assessment,Unit 2,North & Scotland,Standard Application,Completed,17,15,89.8,733.76
CAS-2025-01242,2025-03-15,2025-04-08,Specialist Assessment,Unit 4,Midlands,Complex Inspection,Completed,24,45,94.4,992.39
CAS-2025-01243,2025-05-09,2025-05-17,Customer Enforcement,Unit 4,Midlands,Standard Application,Completed,8,15,90.4,426.26
CAS-2025-01244,2025-02-05,2025-02-12,Operations,Unit 4,Wales & South West,Standard Application,Completed,7,15,86.0,326.07
CAS-2025-01245,2025-08-08,2025-08-17,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,9,15,89.1,385.14
CAS-2025-01246,2025-08-16,2025-09-17,Operations,Unit 4,Midlands,Appeals & Inquiries,Completed,32,60,96.3,1239.24
CAS-2025-01247,2025-01-07,2025-02-12,Operations,Unit 3,Midlands,Complex Inspection,Completed,36,45,99.0,1406.77
CAS-2025-01248,2025-05-22,2025-06-03,Customer Enforcement,Unit 2,London & South East,Standard Application,Completed,12,15,89.7,495.81
CAS-2025-01249,2025-06-10,2025-06-26,Operations,Unit 4,North & Scotland,Standard Application,Completed,16,15,98.1,629.48
CAS-2025-01250,2025-01-28,2025-03-05,Customer Enforcement,Unit 1,North & Scotland,Complex Inspection,Completed,36,45,100.0,1336.17
CAS-2025-01251,2025-07-17,2025-07-29,Customer Enforcement,Unit 2,London & South East,Standard Application,Completed,12,15,90.8,562.2
CAS-2025-01252,2025-05-05,2025-05-07,Customer Enforcement,Unit 4,Wales & South West,Urgent License,Completed,2,5,91.1,156.6
CAS-2025-01253,2025-04-09,2025-04-17,Operations,Unit 3,London & South East,Standard Application,Completed,8,15,89.1,409.68
CAS-2025-01254,2025-08-02,2025-08-28,Operations,Unit 4,London & South East,Complex Inspection,Completed,26,45,86.3,998.55
CAS-2025-01255,2025-06-17,2025-06-24,Specialist Assessment,Unit 2,London & South East,Standard Application,Completed,7,15,97.3,352.37
CAS-2025-01256,2025-08-15,2025-08-18,Operations,Unit 4,North & Scotland,Urgent License,Completed,3,5,91.5,234.06
CAS-2025-01257,2025-09-24,2025-10-08,Operations,Unit 2,Wales & South West,Standard Application,Completed,14,15,100.0,626.79
CAS-2025-01258,2025-02-16,2025-03-21,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,33,45,98.5,1277.28
CAS-2025-01259,2025-09-20,2025-09-22,Regulatory Approvals,Unit 1,North & Scotland,Urgent License,Completed,2,5,100.0,124.34
CAS-2025-01260,2025-01-08,2025-01-17,Specialist Assessment,Unit 4,Wales & South West,Standard Application,Completed,9,15,93.1,431.03
CAS-2025-01261,2025-09-03,2025-10-03,Specialist Assessment,Unit 1,Wales & South West,Complex Inspection,Completed,30,45,91.9,1127.24
CAS-2025-01262,2025-06-07,2025-06-10,Regulatory Approvals,Unit 4,Wales & South West,Urgent License,Completed,3,5,93.8,172.72
CAS-2025-01263,2025-10-10,2025-10-25,Regulatory Approvals,Unit 3,London & South East,Standard Application,Completed,15,15,88.9,679.85
CAS-2025-01264,2025-09-22,2025-10-22,Customer Enforcement,Unit 2,Midlands,Complex Inspection,Completed,30,45,84.5,1162.12
CAS-2025-01265,2025-08-01,2025-08-04,Operations,Unit 2,North & Scotland,Urgent License,Completed,3,5,89.3,165.22
CAS-2025-01266,2025-06-12,2025-06-25,Operations,Unit 1,North & Scotland,Standard Application,Completed,13,15,90.2,576.61
CAS-2025-01267,2025-06-25,2025-06-30,Regulatory Approvals,Unit 1,London & South East,Urgent License,Completed,5,5,89.1,258.99
CAS-2025-01268,2025-09-05,2025-09-07,Operations,Unit 3,Midlands,Urgent License,Completed,2,5,93.8,204.7
CAS-2025-01269,2025-05-08,2025-06-06,Regulatory Approvals,Unit 4,Midlands,Complex Inspection,Completed,29,45,98.2,1173.33
CAS-2025-01270,2025-02-08,2025-02-12,Customer Enforcement,Unit 4,London & South East,Urgent License,Completed,4,5,84.1,279.42
CAS-2025-01271,2025-08-07,2025-08-17,Regulatory Approvals,Unit 3,Midlands,Standard Application,Completed,10,15,92.8,443.04
CAS-2025-01272,2025-01-30,2025-02-08,Customer Enforcement,Unit 3,Wales & South West,Standard Application,Completed,9,15,98.6,372.22
CAS-2025-01273,2025-04-12,2025-04-30,Operations,Unit 4,London & South East,Standard Application,Completed,18,15,96.4,690.8
CAS-2025-01274,2025-07-25,2025-07-27,Customer Enforcement,Unit 3,Wales & South West,Urgent License,Completed,2,5,95.7,208.28
CAS-2025-01275,2025-04-30,2025-05-08,Customer Enforcement,Unit 1,Wales & South West,Standard Application,Completed,8,15,91.9,364.13
CAS-2025-01276,2025-07-22,2025-08-29,Operations,Unit 1,North & Scotland,Complex Inspection,Completed,38,45,90.2,1405.45
CAS-2025-01277,2025-09-21,2025-10-19,Specialist Assessment,Unit 1,Midlands,Standard Application,Completed,28,15,95.4,1127.82
CAS-2025-01278,2025-06-07,2025-06-10,Regulatory Approvals,Unit 3,Wales & South West,Urgent License,Completed,3,5,100.0,222.38
CAS-2025-01279,2025-10-31,,Customer Enforcement,Unit 3,Wales & South West,Standard Application,In Progress,1,15,,88.76
CAS-2025-01280,2025-02-04,2025-03-11,Customer Enforcement,Unit 4,Wales & South West,Complex Inspection,Completed,35,45,81.1,1335.96
CAS-2025-01281,2025-02-16,2025-02-24,Operations,Unit 3,Midlands,Standard Application,Completed,8,15,87.9,428.81
CAS-2025-01282,2025-02-07,2025-02-17,Regulatory Approvals,Unit 1,North & Scotland,Standard Application,Completed,10,15,90.5,453.77
CAS-2025-01283,2025-07-13,2025-08-18,Operations,Unit 3,North & Scotland,Appeals & Inquiries,Completed,36,60,86.9,1368.7
CAS-2025-01284,2025-08-02,2025-08-09,Operations,Unit 1,London & South East,Standard Application,Completed,7,15,89.4,395.65
CAS-2025-01285,2025-04-03,2025-04-13,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,Completed,10,15,87.8,452.43
CAS-2025-01286,2025-06-26,2025-07-04,Regulatory Approvals,Unit 2,London & South East,Standard Application,Completed,8,15,98.5,391.2
CAS-2025-01287,2025-04-16,2025-04-23,Operations,Unit 2,London & South East,Standard Application,Completed,7,15,88.5,360.21
CAS-2025-01288,2025-10-04,2025-10-07,Operations,Unit 3,North & Scotland,Urgent License,Completed,3,5,89.6,195.96
CAS-2025-01289,2025-04-18,2025-05-16,Customer Enforcement,Unit 4,Wales & South West,Complex Inspection,Completed,28,45,88.1,1111.46
CAS-2025-01290,2025-10-28,,Customer Enforcement,Unit 4,Midlands,Complex Inspection,Awaiting Evidence,4,45,,197.11
CAS-2025-01291,2025-08-03,2025-08-15,Operations,Unit 4,Midlands,Standard Application,Completed,12,15,95.5,485.23
CAS-2025-01292,2025-08-27,2025-09-03,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,7,15,98.5,333.98
CAS-2025-01293,2025-09-15,2025-09-26,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,11,15,93.2,527.87
CAS-2025-01294,2025-03-25,2025-05-16,Regulatory Approvals,Unit 1,Midlands,Complex Inspection,Completed,52,45,96.6,1995.13
CAS-2025-01295,2025-09-15,2025-09-25,Operations,Unit 2,Wales & South West,Standard Application,Completed,10,15,88.7,417.3
CAS-2025-01296,2025-02-18,2025-02-20,Operations,Unit 1,North & Scotland,Urgent License,Completed,2,5,92.6,159.74
CAS-2025-01297,2025-04-17,2025-04-25,Regulatory Approvals,Unit 3,London & South East,Standard Application,Completed,8,15,90.4,413.84
CAS-2025-01298,2025-07-14,2025-07-23,Specialist Assessment,Unit 3,London & South East,Standard Application,Completed,9,15,100.0,427.72
CAS-2025-01299,2025-04-28,2025-05-06,Customer Enforcement,Unit 1,Wales & South West,Standard Application,Completed,8,15,85.4,423.01
CAS-2025-01300,2025-07-12,2025-08-12,Specialist Assessment,Unit 3,London & South East,Complex Inspection,Completed,31,45,90.7,1151.17
CAS-2025-01301,2025-05-06,2025-05-09,Regulatory Approvals,Unit 1,Midlands,Urgent License,Completed,3,5,93.6,212.47
CAS-2025-01302,2025-01-31,2025-02-07,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,7,15,98.9,349.05
CAS-2025-01303,2025-03-16,2025-04-04,Operations,Unit 2,North & Scotland,Standard Application,Completed,19,15,81.4,755.82
CAS-2025-01304,2025-05-05,2025-06-06,Regulatory Approvals,Unit 2,Midlands,Appeals & Inquiries,Completed,32,60,83.3,1281.59
CAS-2025-01305,2025-02-04,2025-02-13,Specialist Assessment,Unit 4,Midlands,Urgent License,Completed,9,5,82.8,403.54
CAS-2025-01306,2025-03-09,2025-04-04,Specialist Assessment,Unit 1,London & South East,Complex Inspection,Completed,26,45,83.1,997.69
CAS-2025-01307,2025-02-11,2025-02-21,Customer Enforcement,Unit 1,North & Scotland,Standard Application,Completed,10,15,85.3,488.07
CAS-2025-01308,2025-04-02,2025-04-17,Regulatory Approvals,Unit 1,North & Scotland,Standard Application,Completed,15,15,96.5,603.23
CAS-2025-01309,2025-09-30,2025-10-14,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,14,15,100.0,561.8
CAS-2025-01310,2025-01-05,2025-01-28,Regulatory Approvals,Unit 4,Midlands,Standard Application,Completed,23,15,90.3,957.45
CAS-2025-01311,2025-09-24,2025-10-07,Operations,Unit 3,Wales & South West,Standard Application,Completed,13,15,87.9,579.58
CAS-2025-01312,2025-02-15,2025-03-31,Operations,Unit 2,London & South East,Appeals & Inquiries,Completed,44,60,92.5,1621.37
CAS-2025-01313,2025-03-11,2025-03-19,Regulatory Approvals,Unit 2,Wales & South West,Standard Application,Completed,8,15,88.4,385.13
CAS-2025-01314,2025-09-06,2025-09-09,Operations,Unit 1,North & Scotland,Urgent License,Completed,3,5,100.0,200.85
CAS-2025-01315,2025-06-24,2025-07-28,Customer Enforcement,Unit 4,North & Scotland,Appeals & Inquiries,Completed,34,60,99.0,1346.31
CAS-2025-01316,2025-05-27,2025-06-20,Operations,Unit 3,North & Scotland,Standard Application,Completed,24,15,90.8,924.07
CAS-2025-01317,2025-07-27,2025-08-13,Customer Enforcement,Unit 2,London & South East,Standard Application,Completed,17,15,100.0,717.95
CAS-2025-01318,2025-07-23,2025-08-14,Customer Enforcement,Unit 4,North & Scotland,Standard Application,Completed,22,15,94.8,831.89
CAS-2025-01319,2025-01-19,2025-01-26,Operations,Unit 2,London & South East,Standard Application,Completed,7,15,91.3,361.79
CAS-2025-01320,2025-02-06,2025-02-11,Operations,Unit 4,London & South East,Urgent License,Completed,5,5,89.9,315.94
CAS-2025-01321,2025-02-04,2025-02-11,Regulatory Approvals,Unit 4,North & Scotland,Standard Application,Completed,7,15,82.2,305.1
CAS-2025-01322,2025-03-13,2025-04-13,Operations,Unit 4,London & South East,Appeals & Inquiries,Completed,31,60,82.2,1246.01
CAS-2025-01323,2025-05-03,2025-05-19,Specialist Assessment,Unit 2,Wales & South West,Standard Application,Completed,16,15,91.2,632.52
CAS-2025-01324,2025-01-13,2025-01-16,Regulatory Approvals,Unit 3,Wales & South West,Urgent License,Completed,3,5,82.3,185.75
CAS-2025-01325,2025-04-30,2025-05-10,Regulatory Approvals,Unit 3,Midlands,Standard Application,Completed,10,15,95.8,502.9
CAS-2025-01326,2025-01-21,2025-01-23,Operations,Unit 3,London & South East,Urgent License,Completed,2,5,84.6,192.98
CAS-2025-01327,2025-02-01,2025-02-26,Regulatory Approvals,Unit 2,Wales & South West,Complex Inspection,Completed,25,45,85.4,1008.9
CAS-2025-01328,2025-02-22,2025-03-20,Customer Enforcement,Unit 2,Midlands,Complex Inspection,Completed,26,45,96.7,1050.53
CAS-2025-01329,2025-01-12,2025-01-23,Regulatory Approvals,Unit 2,Midlands,Standard Application,Completed,11,15,88.2,468.12
CAS-2025-01330,2025-10-21,2025-10-30,Specialist Assessment,Unit 4,Midlands,Standard Application,Completed,9,15,92.1,463.54
CAS-2025-01331,2025-06-06,2025-06-17,Specialist Assessment,Unit 1,London & South East,Standard Application,Completed,11,15,93.2,531.22
CAS-2025-01332,2025-05-21,2025-07-12,Regulatory Approvals,Unit 2,Wales & South West,Appeals & Inquiries,Completed,52,60,98.4,1907.6
CAS-2025-01333,2025-08-06,2025-08-10,Regulatory Approvals,Unit 4,North & Scotland,Urgent License,Completed,4,5,89.5,279.55
CAS-2025-01334,2025-04-11,2025-06-04,Specialist Assessment,Unit 4,North & Scotland,Appeals & Inquiries,Completed,54,60,88.3,1996.81
CAS-2025-01335,2025-01-21,2025-02-22,Regulatory Approvals,Unit 3,Wales & South West,Appeals & Inquiries,Completed,32,60,77.4,1272.58
CAS-2025-01336,2025-10-30,2025-11-01,Operations,Unit 4,Midlands,Urgent License,Completed,2,5,91.8,206.9
CAS-2025-01337,2025-01-13,2025-01-15,Regulatory Approvals,Unit 1,Wales & South West,Urgent License,Completed,2,5,89.8,209.02
CAS-2025-01338,2025-04-10,2025-04-17,Regulatory Approvals,Unit 1,London & South East,Standard Application,Completed,7,15,100.0,363.66
CAS-2025-01339,2025-10-01,2025-10-13,Customer Enforcement,Unit 2,Wales & South West,Standard Application,Completed,12,15,100.0,484.53
CAS-2025-01340,2025-08-23,2025-09-02,Operations,Unit 1,London & South East,Standard Application,Completed,10,15,86.0,431.76
CAS-2025-01341,2025-02-22,2025-04-29,Regulatory Approvals,Unit 1,London & South East,Appeals & Inquiries,Completed,66,60,93.1,2396.14
CAS-2025-01342,2025-04-21,2025-05-04,Operations,Unit 4,Midlands,Standard Application,Completed,13,15,92.5,599.26
CAS-2025-01343,2025-07-07,2025-07-15,Operations,Unit 1,Wales & South West,Standard Application,Completed,8,15,89.3,419.71
CAS-2025-01344,2025-06-30,2025-07-08,Operations,Unit 3,Midlands,Standard Application,Completed,8,15,90.0,377.55
CAS-2025-01345,2025-08-12,2025-09-11,Operations,Unit 1,North & Scotland,Complex Inspection,Completed,30,45,97.9,1212.42
CAS-2025-01346,2025-04-21,2025-04-24,Regulatory Approvals,Unit 4,North & Scotland,Urgent License,Completed,3,5,83.9,185.61
CAS-2025-01347,2025-02-14,2025-02-22,Operations,Unit 4,Wales & South West,Standard Application,Completed,8,15,91.4,408.74
CAS-2025-01348,2025-08-06,2025-08-16,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,10,15,82.1,470.1
CAS-2025-01349,2025-05-23,2025-06-05,Regulatory Approvals,Unit 2,London & South East,Standard Application,Completed,13,15,97.0,596.22
CAS-2025-01350,2025-10-28,,Operations,Unit 1,London & South East,Complex Inspection,Under Review,4,45,,259.41
CAS-2025-01351,2025-02-18,2025-03-26,Specialist Assessment,Unit 2,Wales & South West,Complex Inspection,Completed,36,45,93.5,1334.06
CAS-2025-01352,2025-06-23,2025-07-04,Operations,Unit 1,Midlands,Standard Application,Completed,11,15,85.5,536.29
CAS-2025-01353,2025-08-14,2025-09-08,Operations,Unit 1,Midlands,Complex Inspection,Completed,25,45,91.1,964.97
CAS-2025-01354,2025-03-27,2025-04-06,Customer Enforcement,Unit 2,Midlands,Standard Application,Completed,10,15,98.5,453.13
CAS-2025-01355,2025-08-23,2025-10-06,Regulatory Approvals,Unit 1,Wales & South West,Appeals & Inquiries,Completed,44,60,93.1,1651.19
CAS-2025-01356,2025-03-11,2025-03-20,Operations,Unit 4,North & Scotland,Standard Application,Completed,9,15,92.2,391.41
CAS-2025-01357,2025-03-30,2025-04-06,Specialist Assessment,Unit 3,North & Scotland,Standard Application,Completed,7,15,95.7,299.92
CAS-2025-01358,2025-04-18,2025-07-21,Customer Enforcement,Unit 3,London & South East,Appeals & Inquiries,Completed,94,60,94.6,3462.73
CAS-2025-01359,2025-05-21,2025-05-29,Specialist Assessment,Unit 2,Wales & South West,Standard Application,Completed,8,15,92.1,379.82
CAS-2025-01360,2025-03-22,2025-03-25,Operations,Unit 4,Midlands,Urgent License,Completed,3,5,95.7,179.37
CAS-2025-01361,2025-06-20,2025-06-30,Operations,Unit 2,Wales & South West,Standard Application,Completed,10,15,90.8,485.83
CAS-2025-01362,2025-10-05,2025-10-17,Regulatory Approvals,Unit 1,London & South East,Standard Application,Completed,12,15,89.8,515.78
CAS-2025-01363,2025-06-04,2025-07-08,Specialist Assessment,Unit 1,Wales & South West,Complex Inspection,Completed,34,45,88.1,1320.54
CAS-2025-01364,2025-04-27,2025-05-05,Operations,Unit 3,London & South East,Standard Application,Completed,8,15,99.5,375.56
CAS-2025-01365,2025-04-24,2025-05-24,Specialist Assessment,Unit 2,London & South East,Appeals & Inquiries,Completed,30,60,80.5,1198.98
CAS-2025-01366,2025-02-10,2025-02-26,Operations,Unit 2,London & South East,Standard Application,Completed,16,15,82.8,676.01
CAS-2025-01367,2025-04-09,2025-04-18,Operations,Unit 3,North & Scotland,Standard Application,Completed,9,15,100.0,459.88
CAS-2025-01368,2025-06-03,2025-06-06,Specialist Assessment,Unit 1,Midlands,Urgent License,Completed,3,5,83.3,215.61
CAS-2025-01369,2025-02-10,2025-02-22,Operations,Unit 4,North & Scotland,Standard Application,Completed,12,15,91.9,512.44
CAS-2025-01370,2025-09-28,2025-10-13,Specialist Assessment,Unit 1,North & Scotland,Standard Application,Completed,15,15,88.1,664.98
CAS-2025-01371,2025-10-17,2025-10-26,Specialist Assessment,Unit 3,London & South East,Standard Application,Completed,9,15,99.3,373.26
CAS-2025-01372,2025-09-11,2025-10-06,Regulatory Approvals,Unit 1,London & South East,Complex Inspection,Completed,25,45,100.0,957.56
CAS-2025-01373,2025-04-13,2025-04-20,Operations,Unit 1,Wales & South West,Standard Application,Completed,7,15,86.9,371.43
CAS-2025-01374,2025-02-07,2025-02-21,Customer Enforcement,Unit 4,North & Scotland,Standard Application,Completed,14,15,97.1,628.8
CAS-2025-01375,2025-04-22,2025-05-10,Customer Enforcement,Unit 2,London & South East,Standard Application,Completed,18,15,93.4,769.67
CAS-2025-01376,2025-02-08,2025-03-06,Operations,Unit 2,London & South East,Complex Inspection,Completed,26,45,84.3,1048.38
CAS-2025-01377,2025-02-01,2025-04-14,Operations,Unit 3,Midlands,Complex Inspection,Completed,72,45,81.2,2610.24
CAS-2025-01378,2025-09-30,,Regulatory Approvals,Unit 4,North & Scotland,Complex Inspection,Awaiting Evidence,32,45,,1264.07
CAS-2025-01379,2025-07-10,2025-09-13,Regulatory Approvals,Unit 4,London & South East,Appeals & Inquiries,Completed,65,60,98.5,2403.67
CAS-2025-01380,2025-01-01,2025-01-04,Operations,Unit 2,North & Scotland,Urgent License,Completed,3,5,98.0,159.59
CAS-2025-01381,2025-06-18,2025-07-13,Operations,Unit 1,Midlands,Standard Application,Completed,25,15,94.6,1010.21
CAS-2025-01382,2025-06-24,2025-07-04,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,10,15,96.7,455.67
CAS-2025-01383,2025-05-08,2025-05-10,Specialist Assessment,Unit 1,North & Scotland,Urgent License,Completed,2,5,94.9,205.33
CAS-2025-01384,2025-09-04,2025-09-07,Operations,Unit 3,London & South East,Urgent License,Completed,3,5,99.5,253.2
CAS-2025-01385,2025-07-12,2025-08-03,Operations,Unit 4,Midlands,Standard Application,Completed,22,15,94.5,911.88
CAS-2025-01386,2025-04-05,2025-04-09,Operations,Unit 3,Midlands,Urgent License,Completed,4,5,90.2,271.67
CAS-2025-01387,2025-01-07,2025-01-15,Operations,Unit 3,North & Scotland,Urgent License,Completed,8,5,83.9,350.28
CAS-2025-01388,2025-04-23,2025-05-02,Operations,Unit 1,North & Scotland,Standard Application,Completed,9,15,96.1,463.0
CAS-2025-01389,2025-01-05,2025-01-19,Customer Enforcement,Unit 2,London & South East,Standard Application,Completed,14,15,88.8,615.54
CAS-2025-01390,2025-07-16,2025-08-11,Operations,Unit 2,North & Scotland,Standard Application,Completed,26,15,81.8,1051.49
CAS-2025-01391,2025-03-20,2025-03-23,Operations,Unit 3,North & Scotland,Urgent License,Completed,3,5,91.8,254.21
CAS-2025-01392,2025-01-06,2025-02-02,Regulatory Approvals,Unit 4,Midlands,Complex Inspection,Completed,27,45,90.4,1066.72
CAS-2025-01393,2025-08-07,2025-09-11,Regulatory Approvals,Unit 3,North & Scotland,Complex Inspection,Completed,35,45,96.5,1347.46
CAS-2025-01394,2025-06-15,2025-06-22,Specialist Assessment,Unit 3,North & Scotland,Standard Application,Completed,7,15,100.0,393.64
CAS-2025-01395,2025-02-10,2025-03-22,Operations,Unit 4,North & Scotland,Complex Inspection,Completed,40,45,99.1,1531.0
CAS-2025-01396,2025-08-21,2025-08-29,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,Completed,8,15,98.1,345.71
CAS-2025-01397,2025-09-23,2025-10-23,Regulatory Approvals,Unit 3,Midlands,Appeals & Inquiries,Completed,30,60,95.6,1152.36
CAS-2025-01398,2025-10-11,,Regulatory Approvals,Unit 1,Wales & South West,Appeals & Inquiries,Under Review,21,60,,891.26
CAS-2025-01399,2025-03-14,2025-06-06,Customer Enforcement,Unit 2,Wales & South West,Complex Inspection,Completed,84,45,99.8,3042.19
CAS-2025-01400,2025-10-10,,Regulatory Approvals,Unit 3,Wales & South West,Complex Inspection,Under Review,22,45,,856.87
CAS-2025-01401,2025-04-03,2025-05-08,Regulatory Approvals,Unit 3,Midlands,Appeals & Inquiries,Completed,35,60,100.0,1362.59
CAS-2025-01402,2025-06-17,2025-07-05,Regulatory Approvals,Unit 1,North & Scotland,Standard Application,Completed,18,15,95.2,691.95
CAS-2025-01403,2025-08-13,2025-08-20,Operations,Unit 1,North & Scotland,Standard Application,Completed,7,15,100.0,359.17
CAS-2025-01404,2025-01-16,2025-01-21,Operations,Unit 4,North & Scotland,Urgent License,Completed,5,5,90.2,309.8
CAS-2025-01405,2025-03-18,2025-04-15,Customer Enforcement,Unit 3,Midlands,Complex Inspection,Completed,28,45,89.6,1064.62
CAS-2025-01406,2025-04-17,2025-05-05,Regulatory Approvals,Unit 1,Wales & South West,Standard Application,Completed,18,15,100.0,755.65
CAS-2025-01407,2025-02-25,2025-03-01,Customer Enforcement,Unit 2,London & South East,Urgent License,Completed,4,5,92.0,245.5
CAS-2025-01408,2025-04-17,2025-04-19,Specialist Assessment,Unit 4,Midlands,Urgent License,Completed,2,5,99.6,165.39
CAS-2025-01409,2025-07-04,2025-07-14,Operations,Unit 2,Wales & South West,Standard Application,Completed,10,15,97.9,406.15
CAS-2025-01410,2025-05-01,2025-05-08,Operations,Unit 2,London & South East,Standard Application,Completed,7,15,86.0,317.06
CAS-2025-01411,2025-01-21,2025-01-24,Customer Enforcement,Unit 3,London & South East,Urgent License,Completed,3,5,91.4,211.84
CAS-2025-01412,2025-06-02,2025-06-06,Operations,Unit 3,Midlands,Urgent License,Completed,4,5,96.7,222.78
CAS-2025-01413,2025-02-01,2025-03-04,Customer Enforcement,Unit 1,Wales & South West,Complex Inspection,Completed,31,45,86.6,1182.36
CAS-2025-01414,2025-05-17,2025-05-27,Operations,Unit 1,North & Scotland,Standard Application,Completed,10,15,87.4,484.45
CAS-2025-01415,2025-03-28,2025-04-30,Customer Enforcement,Unit 3,Wales & South West,Complex Inspection,Completed,33,45,85.4,1288.86
CAS-2025-01416,2025-05-21,2025-05-30,Customer Enforcement,Unit 4,North & Scotland,Standard Application,Completed,9,15,94.2,443.56
CAS-2025-01417,2025-03-26,2025-04-21,Customer Enforcement,Unit 2,Wales & South West,Complex Inspection,Completed,26,45,87.7,983.53
